scenario,family,comparison_id,metric,model_a,model_b,n_pairs,wilcoxon_effective_n,mean_model_a,mean_model_b,mean_difference,sd_difference,median_difference,q25_difference,q75_difference,bootstrap_mean_ci_low,bootstrap_mean_ci_high,bootstrap_median_ci_low,bootstrap_median_ci_high,wilcoxon_statistic,p_raw,rank_biserial,win_rate,loss_rate,tie_rate,p_holm,reject_holm,family_complete
S2,secondary,agnam_vs_single_run_auprc,AUPRC,AG-NAM,Single-Run AG-NAM,20,20,0.8250040183590419,0.8151317731645786,0.009872245194463381,0.03269319341701271,0.0006891341513775018,-0.002988814713965976,0.009747419945932784,-0.003282887637597556,0.024701772623635012,-0.00041936435745576484,0.0019231405568290727,71.0,0.21616744995117188,0.3238095238095238,0.65,0.35,0.0,1.0,False,True
S2,secondary,agnam_vs_single_run_auroc,AUROC,AG-NAM,Single-Run AG-NAM,20,20,0.8256384852221809,0.8158481059117968,0.009790379310384267,0.0323747981664147,0.0005016237198804396,-0.0030055364423670627,0.010353193737494798,-0.003587332271835214,0.02473996178529878,-0.001065688525117403,0.0030974554454139547,77.0,0.3117942810058594,0.26666666666666666,0.65,0.35,0.0,1.0,False,True
S3,primary,agnam_vs_main_auroc,AUROC,AG-NAM,Main NAM,20,20,0.8134062831647203,0.7004369158018003,0.11296936736292,0.02812094124284115,0.1173012700093935,0.11055637789942638,0.1231865504937944,0.09927559771696993,0.1221838885498373,0.11147751115528687,0.1215455495846679,0.0,1.9073486328125e-06,1.0,1.0,0.0,0.0,7.62939453125e-06,True,True
S3,secondary,agnam_vs_main_auprc,AUPRC,AG-NAM,Main NAM,20,20,0.8141521625723417,0.68897083529405,0.1251813272782918,0.03139130382129752,0.1294485727827363,0.12255005706022218,0.13775506865002385,0.1096092042537267,0.13561637815265082,0.12443364305340643,0.13708236884641656,0.0,1.9073486328125e-06,1.0,1.0,0.0,0.0,3.814697265625e-05,True,True
S3,secondary,agnam_vs_random_auprc,AUPRC,AG-NAM,Random-Pair NAM,20,20,0.8141521625723417,0.6892978495595223,0.1248543130128195,0.03189427261040391,0.13125849901749048,0.12063086312345331,0.1377832653596408,0.10901895627772716,0.13557282806877924,0.12193895932628118,0.13680834089528493,0.0,1.9073486328125e-06,1.0,1.0,0.0,0.0,3.814697265625e-05,True,True
S3,secondary,agnam_vs_random_auroc,AUROC,AG-NAM,Random-Pair NAM,20,20,0.8134062831647203,0.7006178972968782,0.11278838586784205,0.028637446463472185,0.11706868676510807,0.10890878042506619,0.12430758297633407,0.09906601706245408,0.12225730831324086,0.11076920802049844,0.12227653593683596,0.0,1.9073486328125e-06,1.0,1.0,0.0,0.0,3.814697265625e-05,True,True
S3,secondary,agnam_vs_single_run_auprc,AUPRC,AG-NAM,Single-Run AG-NAM,20,20,0.8141521625723417,0.7899775556334594,0.024174606938882452,0.06688540933636036,0.0006591450549452427,-0.00028204658507893776,0.028049811395019192,-0.0033331338574062344,0.05238858149556569,-0.0001256646402924,0.0011950137194582378,60.0,0.09730720520019531,0.42857142857142855,0.65,0.35,0.0,0.6811504364013672,False,True
S3,secondary,agnam_vs_single_run_auroc,AUROC,AG-NAM,Single-Run AG-NAM,20,20,0.8134062831647203,0.7921455907809256,0.021260692383794622,0.06056436272959104,0.000495367556173798,-9.219346767652681e-05,0.027389418676542515,-0.0033032172455554733,0.04804398802838839,-3.1243749799569898e-06,0.0018156797344152098,56.0,0.069580078125,0.4666666666666667,0.7,0.3,0.0,0.556640625,False,True
S4,primary,agnam_vs_main_auroc,AUROC,AG-NAM,Main NAM,20,13,0.7352713305592232,0.7147327633540403,0.02053856720518297,0.01967216370890575,0.023826641562185336,0.0,0.03897592038202663,0.01202889433161777,0.028937605273933256,0.0,0.038177569856686466,1.0,0.00048828125,0.978021978021978,0.6,0.05,0.35,0.00048828125,True,True
S4,secondary,agnam_vs_main_auprc,AUPRC,AG-NAM,Main NAM,20,13,0.4466469506149613,0.42179458200281933,0.024852368612142,0.02540238795924199,0.025256697631278552,0.0,0.047862498398715106,0.014108042504194064,0.03571721133818166,0.0,0.04564435896201946,3.0,0.001220703125,0.9340659340659341,0.55,0.1,0.35,0.013427734375,True,True
S4,secondary,agnam_vs_random_auprc,AUPRC,AG-NAM,Random-Pair NAM,20,13,0.4466469506149613,0.4213819473964183,0.02526500321854307,0.02575385575557297,0.023417989387698235,0.0,0.049770606933862524,0.01451884623163208,0.036327177454228615,0.0,0.046507456309494155,3.0,0.001220703125,0.9340659340659341,0.55,0.1,0.35,0.013427734375,True,True
S4,secondary,agnam_vs_random_auroc,AUROC,AG-NAM,Random-Pair NAM,20,13,0.7352713305592232,0.7147909852698472,0.02048034528937597,0.019764169538568233,0.02484185060122779,0.0,0.038073999711753126,0.012144447008508023,0.02873537368245477,0.0,0.03731976932516018,3.0,0.001220703125,0.9340659340659341,0.55,0.1,0.35,0.013427734375,True,True
S4,secondary,agnam_vs_single_run_auprc,AUPRC,AG-NAM,Single-Run AG-NAM,20,20,0.4466469506149613,0.4409423970065098,0.005704553608451563,0.03297132180892838,0.0015467555517332532,-0.0023096287061461634,0.011959352634565698,-0.008483553576429522,0.019247355545861627,-0.0020942746309200178,0.005744839333230195,79.0,0.34881019592285156,0.24761904761904763,0.6,0.4,0.0,1.0,False,True
S4,secondary,agnam_vs_single_run_auroc,AUROC,AG-NAM,Single-Run AG-NAM,20,20,0.7352713305592232,0.7305406525435014,0.004730678015721718,0.023567262522590286,0.0002994684925518021,-0.0010400229270572936,0.009292901458296199,-0.005126101097565827,0.014782715051511342,-0.000756979169225902,0.004230808698482913,79.0,0.34881019592285156,0.24761904761904763,0.55,0.45,0.0,1.0,False,True
